case_id,source,year,token,concept,url,title,excerpt,availability,label,reviewer_id,blinded
1602276b4e50ed386070fddf0c50016774f3c09bd0d036a221df2a1d4141ea51,gazettelive.co.uk,2015,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.gazettelive.co.uk/all-about/proms,,"Prom pictures and video from school proms at schools across Middlesbrough, Stockton, and Redcar and Cleveland.",insufficient_context,,,False
059e4a028840d33b260eb5959ca1b0b5570f5eb4bed0502e80ffc544715e49b8,blogspot.com,2015,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://livefriendie.blogspot.com/2015/03/first-thoughts-washington-braces-for.html,,,insufficient_context,,,False
0975a6d7ff58d8349f2913a1c213dbde5a8a92fcfdf094bcc42af92f95d99a61,newsmax.com,2015,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.newsmax.com/world/europe/french-nuclear-power-plant/2015/03/01/id/627599/,,,document_unavailable,,,False
6e42d61c10a26a70ebffdef9b9bc5594ed8c8b10befa8711f422975098739f20,forbes.com,2015,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.forbes.com/sites/parmyolson/2015/03/01/samsung-galaxy-s6-cool-curves-lightning-fast-camera/,,,document_unavailable,,,False
d8532229391a18fefabb65a936fa1dd9e1412f99856a3397432ecb1db3f245f7,japantoday.com,2015,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.japantoday.com/category/travel/view/enjoy-early-cherry-blossoms-in-kawazu,,,document_unavailable,,,False
6398991d35491b49f151c76a31145374200501dfe93c225ecc4aadc6e74ff7be,ktvl.com,2015,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.ktvl.com/template/inews_wire/wires.international/322720c8-www.ktvl.com.shtml,,,document_unavailable,,,False
dac075980fef5ba319d16299004ee42dd8078b5998d4256be36605595d576bca,pafoa.org,2016,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://forum.pafoa.org/external.php?s=badaa8c732286a0e2ebc6808e789db6d&type=RSS2&forumids=21,,,document_unavailable,,,False
a3ab1fe881d542662e2d829aa7620323d4b05cbc0fd343b5bd84b288cdece8f6,chroniclejournal.com,2016,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.chroniclejournal.com/news/world/the-latest-xi-tells-skorea-he-is-against-us-missile/article_22edb64a-eb0b-54cf-b411-7b230694efcd.html,,,document_unavailable,,,False
353c8c3c15b6c00094253b91f22257123da38b84cb25e9da7713ff155011b7c3,artdaily.com,2016,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://artdaily.com/news/89396/Exhibition-of-works-by-Jock-Sturges-opens-at-Lumiere-Brothers-Center-for-Photography,,,insufficient_context,,,False
203a52b947ffdbbc85010595376f705729d4a764684c8948d2ef3ea805d3c260,in.com,2016,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.in.com/news/current-affairs/eliminate-safe-havens-for-economic-offenders-pm-narendra-modi-tells-g20-65923911-in-1.html,,,document_unavailable,,,False
c519f63826ef0e72cb7db199a7d86d56c39f7ce05fbd513db3fbf0e62238f78c,in.com,2016,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.in.com/news/current-affairs/g20-summit-pm-modi-meets-british-pm-theresa-may-65923931-in-1.html,,,document_unavailable,,,False
638434487ee4f995e817de3152937ca38f7ae6f5922cb50d377175f75301e83d,southwalesargus.co.uk,2016,PROTEST,"Collective protest, public demonstrations or organized dissent as a media topic, not protest event counts.",http://www.southwalesargus.co.uk/news/national/14722953.Stunning_images_win_British_Wildlife_Photography_Awards/,,,document_unavailable,,,False
