case_id,token,year,source,original_url,recovered_url,identity_status,title,excerpt,evidence_sha256,human_label,reviewer_id,evidence_sufficiency,evidence_sufficiency_version,provenance,review_protocol_version,review_protocol_sha256
1602276b4e50ed386070fddf0c50016774f3c09bd0d036a221df2a1d4141ea51,PROTEST,2015,gazettelive.co.uk,http://www.gazettelive.co.uk/all-about/proms,https://www.gazettelive.co.uk/all-about/proms,identity_probable_manual_review_required,,,7d4f2e5ca1322a5e253c854ee90823615464e4a67feb0fd35ceaade19ed9f9c4,,,E0,1.0.0,"{""attempt_sha256"": ""7e7091cb8c4ab4479ab17cbecdfed70151d4c5195285c62f0e828d5f9771a113"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
059e4a028840d33b260eb5959ca1b0b5570f5eb4bed0502e80ffc544715e49b8,PROTEST,2015,blogspot.com,http://livefriendie.blogspot.com/2015/03/first-thoughts-washington-braces-for.html,,identity_unresolved,,,52b1b367a96565f152f5b937ab8871474f8c6b21338bed9f36d2f19fc8196d4b,,,E0,1.0.0,"{""attempt_sha256"": ""f97e723eaa99d1a4a208576cb9f6f19eb521357b19af3c7228795e5321033ff7"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
0975a6d7ff58d8349f2913a1c213dbde5a8a92fcfdf094bcc42af92f95d99a61,PROTEST,2015,newsmax.com,http://www.newsmax.com/world/europe/french-nuclear-power-plant/2015/03/01/id/627599/,,identity_unresolved,,,c8e7abab621674665f243ba5b1aee8b3f0dd8a6a7cd7361a3c8ee6dc61ff0b35,,,E0,1.0.0,"{""attempt_sha256"": ""9d55798c10caabf2575b045046dda4cc7a5d8be0f61aab6ce5868cee1835025c"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
6e42d61c10a26a70ebffdef9b9bc5594ed8c8b10befa8711f422975098739f20,PROTEST,2015,forbes.com,http://www.forbes.com/sites/parmyolson/2015/03/01/samsung-galaxy-s6-cool-curves-lightning-fast-camera/,,identity_unresolved,,,e0c90a99b858d6a70168d1b09812e8e41a71b2ca6b6d4f6cb28e6c172d78ec06,,,E0,1.0.0,"{""attempt_sha256"": ""c6f94fc02d026874685fef2733990d582e8bfbbad3afba872608ce652e0d8738"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
d8532229391a18fefabb65a936fa1dd9e1412f99856a3397432ecb1db3f245f7,PROTEST,2015,japantoday.com,http://www.japantoday.com/category/travel/view/enjoy-early-cherry-blossoms-in-kawazu,http://www.japantoday.com/category/travel/view/enjoy-early-cherry-blossoms-in-kawazu,identity_unresolved,,,6b3e58d2bcfb18d0dff30139cf32151d6a4295e06f5eae9814736151a4da9844,,,E0,1.0.0,"{""attempt_sha256"": ""79f447669eb1ff9cc6785cbc4aa75d83c1673e365f08c4594cc4cfc37fdf4e25"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
6398991d35491b49f151c76a31145374200501dfe93c225ecc4aadc6e74ff7be,PROTEST,2015,ktvl.com,http://www.ktvl.com/template/inews_wire/wires.international/322720c8-www.ktvl.com.shtml,https://ktvl.com/template/inews_wire/wires.international/322720c8-www.ktvl.com.shtml,identity_unresolved,,,93947ac57a14d156c6090bea36e6f59be60147b2531fd0bcc4adc0bf45d1f856,,,E0,1.0.0,"{""attempt_sha256"": ""bbd6f9ef663ccd7b119358c8e21d6681dc0f844836d03d9cf4cefc1d1d16788e"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
dac075980fef5ba319d16299004ee42dd8078b5998d4256be36605595d576bca,PROTEST,2016,pafoa.org,http://forum.pafoa.org/external.php?s=badaa8c732286a0e2ebc6808e789db6d&type=RSS2&forumids=21,,identity_unresolved,,,8995bb49566a2372797f7e6bd222e115a125fb586ff91496524881b3361e5cdb,,,E0,1.0.0,"{""attempt_sha256"": ""4bad6a8da381ef70b3941797f7a1d9a88653a0ff8fdc7fbfcf1f162b1fc3da94"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
a3ab1fe881d542662e2d829aa7620323d4b05cbc0fd343b5bd84b288cdece8f6,PROTEST,2016,chroniclejournal.com,http://www.chroniclejournal.com/news/world/the-latest-xi-tells-skorea-he-is-against-us-missile/article_22edb64a-eb0b-54cf-b411-7b230694efcd.html,http://www.chroniclejournal.com/news/world/the-latest-xi-tells-skorea-he-is-against-us-missile/article_22edb64a-eb0b-54cf-b411-7b230694efcd.html,identity_unresolved,,,4c9d2d850bc8bc3fd3298f1dbb66ef389d512079680d1f5e001cfc0c598c99ab,,,E0,1.0.0,"{""attempt_sha256"": ""f37e32071216848f3b623d056b178c54c34a5654d68b8501171975fdb46d5f0a"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
353c8c3c15b6c00094253b91f22257123da38b84cb25e9da7713ff155011b7c3,PROTEST,2016,artdaily.com,http://artdaily.com/news/89396/Exhibition-of-works-by-Jock-Sturges-opens-at-Lumiere-Brothers-Center-for-Photography,https://artdaily.cc/news/89396/Exhibition-of-works-by-Jock-Sturges-opens-at-Lumiere-Brothers-Center-for-Photography,identity_unresolved,,,d836029f08b6f2bd55adf7114dce06aaa37daa55dec177f2dea12197a8b25c36,,,E0,1.0.0,"{""attempt_sha256"": ""ce3b85231e8ebc3fe32f8c9c9e1e271c88791888dc8c445fd655465e39f963ab"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
203a52b947ffdbbc85010595376f705729d4a764684c8948d2ef3ea805d3c260,PROTEST,2016,in.com,http://www.in.com/news/current-affairs/eliminate-safe-havens-for-economic-offenders-pm-narendra-modi-tells-g20-65923911-in-1.html,https://www.news18.com/entertainment/?utm_source=indotcom&utm_medium=Referral&utm_campaign=indotcom_domain_redirect,identity_unresolved,,,6e33f37fcce2d2bb1e50d22a9ae86bdec52d8680e6617607f3daec693643cf90,,,E0,1.0.0,"{""attempt_sha256"": ""2a4fc9945ddb3e0e95c9ec10bec36f6ae32bd2790cbec9e44bafe7c5e5bb9881"", ""baseline"": ""f7073ab51e4eb0195fa740a38e96c2a945453602""}",1.0.1,248d3ba99e329f1701ca54693b7d593c2182fc4f06515f659bfc83ee2e163e8d
